,Fecha,Demanda
0,2020-01-01,574.77672
1,2020-01-02,723.522375
2,2020-01-03,754.6453419999999
3,2020-01-04,702.390878
4,2020-01-05,651.967486
5,2020-01-06,630.259532
6,2020-01-07,789.0316210000001
7,2020-01-08,820.1436779999999
8,2020-01-09,820.7696139999999
9,2020-01-10,814.7598270000001
10,2020-01-11,732.5317249999999
11,2020-01-12,693.449101
12,2020-01-13,829.1579059999999
13,2020-01-14,844.4160790000001
14,2020-01-15,832.9102929999999
15,2020-01-16,822.827255
16,2020-01-17,807.653787
17,2020-01-18,729.6730239999999
18,2020-01-19,689.8208860000001
19,2020-01-20,846.106888
20,2020-01-21,862.132604
21,2020-01-22,841.706187
22,2020-01-23,829.427103
23,2020-01-24,821.136183
24,2020-01-25,734.265345
25,2020-01-26,676.3692619999999
26,2020-01-27,807.615701
27,2020-01-28,807.001677
28,2020-01-29,792.162501
29,2020-01-30,778.203546
30,2020-01-31,765.448598
31,2020-02-01,681.471943
32,2020-02-02,625.016468
33,2020-02-03,729.3290820000001
34,2020-02-04,747.892827
35,2020-02-05,758.9877879999999
36,2020-02-06,769.754643
37,2020-02-07,772.488589
38,2020-02-08,698.19959
39,2020-02-09,646.787156
40,2020-02-10,749.504414
41,2020-02-11,761.008347
42,2020-02-12,766.558356
43,2020-02-13,759.532177
44,2020-02-14,753.9541409999999
45,2020-02-15,675.832097
46,2020-02-16,625.453407
47,2020-02-17,739.797699
48,2020-02-18,766.371869
49,2020-02-19,764.941248
50,2020-02-20,763.651659
51,2020-02-21,753.7447340000001
52,2020-02-22,672.07247
53,2020-02-23,620.87208
54,2020-02-24,730.827761
55,2020-02-25,743.8207530000001
56,2020-02-26,753.405313
57,2020-02-27,751.137432
58,2020-02-28,728.292593
59,2020-02-29,670.263321
60,2020-03-01,626.873694
61,2020-03-02,741.296331
62,2020-03-03,769.321188
63,2020-03-04,759.058244
64,2020-03-05,754.3651639999999
65,2020-03-06,757.995483
66,2020-03-07,683.5324390000001
67,2020-03-08,630.442877
68,2020-03-09,740.417533
69,2020-03-10,747.566521
70,2020-03-11,742.561392
71,2020-03-12,738.0889070000001
72,2020-03-13,729.774542
73,2020-03-14,646.497547
74,2020-03-15,600.435811
75,2020-03-16,704.1242639999999
76,2020-03-17,706.050583
77,2020-03-18,684.7990699999999
78,2020-03-19,641.992028
79,2020-03-20,647.058248
80,2020-03-21,612.492101
81,2020-03-22,583.510909
82,2020-03-23,653.558582
83,2020-03-24,663.819764
84,2020-03-25,664.643791
85,2020-03-26,661.3383240000001
86,2020-03-27,667.335755
87,2020-03-28,605.617221
88,2020-03-29,540.51504
89,2020-03-30,610.9960749999999
90,2020-03-31,610.653934
91,2020-04-01,599.875958
92,2020-04-02,599.323162
93,2020-04-03,584.6836940000001
94,2020-04-04,542.996041
95,2020-04-05,519.594376
96,2020-04-06,568.14384
97,2020-04-07,567.082621
98,2020-04-08,555.027089
99,2020-04-09,529.824736
100,2020-04-10,510.43549
101,2020-04-11,518.229908
102,2020-04-12,501.61548
103,2020-04-13,537.818991
104,2020-04-14,584.017243
105,2020-04-15,604.3471850000001
106,2020-04-16,604.521525
107,2020-04-17,598.6975679999999
108,2020-04-18,552.914776
109,2020-04-19,520.1232679999999
110,2020-04-20,585.331059
111,2020-04-21,608.8807049999999
112,2020-04-22,608.023375
113,2020-04-23,599.598011
114,2020-04-24,594.6619840000001
115,2020-04-25,556.038735
116,2020-04-26,522.374953
117,2020-04-27,590.579965
118,2020-04-28,601.2031049999999
119,2020-04-29,600.23468
120,2020-04-30,594.712471
121,2020-05-01,525.344189
122,2020-05-02,529.331136
123,2020-05-03,509.365967
124,2020-05-04,585.884404
125,2020-05-05,607.115027
126,2020-05-06,610.19936
127,2020-05-07,604.624142
128,2020-05-08,597.1797879999999
129,2020-05-09,547.084706
130,2020-05-10,513.399456
131,2020-05-11,591.350652
132,2020-05-12,617.479021
133,2020-05-13,617.401116
134,2020-05-14,620.5579009999999
135,2020-05-15,608.95225
136,2020-05-16,555.670934
137,2020-05-17,519.597946
138,2020-05-18,596.670207
139,2020-05-19,615.0526040000001
140,2020-05-20,622.450073
141,2020-05-21,630.168002
142,2020-05-22,634.3552639999999
143,2020-05-23,582.895641
144,2020-05-24,542.1706409999999
145,2020-05-25,627.4661110000001
146,2020-05-26,642.990536
147,2020-05-27,644.707726
148,2020-05-28,642.005868
149,2020-05-29,641.5703100000001
150,2020-05-30,583.3804329999999
151,2020-05-31,541.662429
152,2020-06-01,627.334741
153,2020-06-02,653.3965
154,2020-06-03,662.452407
155,2020-06-04,651.301681
156,2020-06-05,640.912088
157,2020-06-06,582.674188
158,2020-06-07,540.393818
159,2020-06-08,625.763383
160,2020-06-09,643.604721
161,2020-06-10,653.728489
162,2020-06-11,653.624408
163,2020-06-12,645.918049
164,2020-06-13,581.088713
165,2020-06-14,543.304621
166,2020-06-15,644.001077
167,2020-06-16,656.823463
168,2020-06-17,661.145578
169,2020-06-18,662.011432
170,2020-06-19,657.6761829999999
171,2020-06-20,608.254976
172,2020-06-21,572.807006
173,2020-06-22,682.9632909999999
174,2020-06-23,706.61383
175,2020-06-24,668.203326
176,2020-06-25,711.838827
177,2020-06-26,702.221428
178,2020-06-27,638.125491
179,2020-06-28,604.1445640000001
180,2020-06-29,723.951102
181,2020-06-30,752.302735
182,2020-07-01,763.359011
183,2020-07-02,765.7901019999999
184,2020-07-03,735.357247
185,2020-07-04,660.713186
186,2020-07-05,626.327165
187,2020-07-06,757.299096
188,2020-07-07,780.525085
189,2020-07-08,784.56699
190,2020-07-09,771.1258909999999
191,2020-07-10,758.878105
192,2020-07-11,690.6977340000001
193,2020-07-12,633.135072
194,2020-07-13,752.649491
195,2020-07-14,760.459038
196,2020-07-15,756.753738
197,2020-07-16,763.067312
198,2020-07-17,760.177205
199,2020-07-18,688.716516
200,2020-07-19,644.522223
201,2020-07-20,769.33038
202,2020-07-21,785.563684
203,2020-07-22,776.667953
204,2020-07-23,789.63451
205,2020-07-24,789.08965
206,2020-07-25,704.273245
207,2020-07-26,664.179618
208,2020-07-27,794.291764
209,2020-07-28,814.337543
210,2020-07-29,817.4875470000001
211,2020-07-30,825.275946
212,2020-07-31,810.169058
213,2020-08-01,738.2691530000001
214,2020-08-02,673.895707
215,2020-08-03,747.511864
216,2020-08-04,751.1237600000001
217,2020-08-05,764.126717
218,2020-08-06,776.466924
219,2020-08-07,775.393905
220,2020-08-08,700.782169
221,2020-08-09,657.269503
222,2020-08-10,738.0689610000001
223,2020-08-11,734.50001
224,2020-08-12,712.418386
225,2020-08-13,716.219241
226,2020-08-14,710.586003
227,2020-08-15,631.2936169999999
228,2020-08-16,591.6626
229,2020-08-17,683.923907
230,2020-08-18,708.888916
231,2020-08-19,725.675863
232,2020-08-20,729.676986
233,2020-08-21,739.0805740000001
234,2020-08-22,676.812548
235,2020-08-23,625.384861
236,2020-08-24,733.320649
237,2020-08-25,772.384724
238,2020-08-26,791.658289
239,2020-08-27,797.8907539999999
240,2020-08-28,773.438841
241,2020-08-29,635.866109
242,2020-08-30,572.3108980000001
243,2020-08-31,679.208909
244,2020-09-01,700.209044
245,2020-09-02,711.095786
246,2020-09-03,719.00512
247,2020-09-04,724.580748
248,2020-09-05,653.584402
249,2020-09-06,604.081335
250,2020-09-07,696.258312
251,2020-09-08,698.100318
252,2020-09-09,718.0849350000001
253,2020-09-10,721.372797
254,2020-09-11,698.312958
255,2020-09-12,649.1655509999999
256,2020-09-13,605.4915579999999
257,2020-09-14,718.980488
258,2020-09-15,740.288273
259,2020-09-16,751.5567169999999
260,2020-09-17,740.7607830000001
261,2020-09-18,713.829456
262,2020-09-19,627.3284080000001
263,2020-09-20,574.171087
264,2020-09-21,683.416711
265,2020-09-22,703.840984
266,2020-09-23,712.811873
267,2020-09-24,712.997199
268,2020-09-25,691.7896890000001
269,2020-09-26,614.3099719999999
270,2020-09-27,568.7665649999999
271,2020-09-28,666.55906
272,2020-09-29,686.7970429999999
273,2020-09-30,690.962671
274,2020-10-01,700.9167319999999
275,2020-10-02,698.403756
276,2020-10-03,612.1690500000001
277,2020-10-04,571.636922
278,2020-10-05,673.48222
279,2020-10-06,690.8948959999999
280,2020-10-07,699.613798
281,2020-10-08,699.215554
282,2020-10-09,679.813517
283,2020-10-10,614.3319620000001
284,2020-10-11,563.490862
285,2020-10-12,570.701026
286,2020-10-13,673.7846870000001
287,2020-10-14,703.005757
288,2020-10-15,709.578141
289,2020-10-16,704.019681
290,2020-10-17,631.928375
291,2020-10-18,583.351177
292,2020-10-19,687.1524129999999
293,2020-10-20,711.7149000000001
294,2020-10-21,707.162568
295,2020-10-22,710.357203
296,2020-10-23,696.843426
297,2020-10-24,625.382417
298,2020-10-25,606.3079690000001
299,2020-10-26,689.553095
300,2020-10-27,714.662582
301,2020-10-28,715.705336
302,2020-10-29,715.28416
303,2020-10-30,704.726127
304,2020-10-31,628.294896
305,2020-11-01,575.0750280000001
306,2020-11-02,647.094468
307,2020-11-03,706.154584
308,2020-11-04,728.814878
309,2020-11-05,724.7667560000001
310,2020-11-06,710.624719
311,2020-11-07,635.069873
312,2020-11-08,585.653269
313,2020-11-09,688.061521
314,2020-11-10,711.586135
315,2020-11-11,718.1732939999999
316,2020-11-12,717.8806310000001
317,2020-11-13,713.2649690000001
318,2020-11-14,641.465596
319,2020-11-15,585.947032
320,2020-11-16,693.2366800000001
321,2020-11-17,712.86251
322,2020-11-18,718.214566
323,2020-11-19,718.299945
324,2020-11-20,716.666871
325,2020-11-21,645.094568
326,2020-11-22,605.990942
327,2020-11-23,728.1889520000001
328,2020-11-24,757.498853
329,2020-11-25,765.26818
330,2020-11-26,766.690677
331,2020-11-27,751.4898199999999
332,2020-11-28,667.6277210000001
333,2020-11-29,624.7317730000001
334,2020-11-30,737.071712
335,2020-12-01,753.620849
336,2020-12-02,768.634956
337,2020-12-03,784.315168
338,2020-12-04,790.382104
339,2020-12-05,723.62758
340,2020-12-06,676.303
341,2020-12-07,712.6566019999999
342,2020-12-08,693.4332929999999
343,2020-12-09,804.0188059999999
344,2020-12-10,807.7716949999999
345,2020-12-11,783.7662929999999
346,2020-12-12,686.5101609999999
347,2020-12-13,644.286586
348,2020-12-14,759.517717
349,2020-12-15,766.794634
350,2020-12-16,780.348751
351,2020-12-17,778.470844
352,2020-12-18,776.174524
353,2020-12-19,697.9458079999999
354,2020-12-20,646.840581
355,2020-12-21,750.4068199999999
356,2020-12-22,750.081066
357,2020-12-23,727.7066239999999
358,2020-12-24,643.648623
359,2020-12-25,570.771924
360,2020-12-26,635.755792
361,2020-12-27,646.6995459999999
362,2020-12-28,724.357078
363,2020-12-29,732.115459
364,2020-12-30,734.2831239999999
365,2020-12-31,687.715588
366,2021-01-01,608.715931
367,2021-01-02,680.432407
368,2021-01-03,684.489215
369,2021-01-04,793.625993
370,2021-01-05,806.5881559999999
371,2021-01-06,700.1445640000001
372,2021-01-07,854.323166
373,2021-01-08,872.357353
374,2021-01-09,773.2969790000001
375,2021-01-10,735.647962
376,2021-01-11,851.740825
377,2021-01-12,875.118684
378,2021-01-13,874.914272
379,2021-01-14,873.57723
380,2021-01-15,859.3557950000001
381,2021-01-16,765.002342
382,2021-01-17,708.974301
383,2021-01-18,827.619581
384,2021-01-19,846.116609
385,2021-01-20,850.299079
386,2021-01-21,817.647661
387,2021-01-22,794.514658
388,2021-01-23,719.5108290000001
389,2021-01-24,655.028547
390,2021-01-25,775.155263
391,2021-01-26,770.7961019999999
392,2021-01-27,753.3216199999999
393,2021-01-28,744.101186
394,2021-01-29,733.183947
395,2021-01-30,672.206563
396,2021-01-31,631.678074
397,2021-02-01,725.30841
398,2021-02-02,742.016165
399,2021-02-03,744.032692
400,2021-02-04,742.410917
401,2021-02-05,742.180511
402,2021-02-06,673.2028889999999
403,2021-02-07,635.1844279999999
404,2021-02-08,757.811118
405,2021-02-09,789.35766
406,2021-02-10,767.889956
407,2021-02-11,757.9492240000001
408,2021-02-12,744.94486
409,2021-02-13,664.031439
410,2021-02-14,627.37764
411,2021-02-15,743.811335
412,2021-02-16,751.44691
413,2021-02-17,752.695056
414,2021-02-18,754.962027
415,2021-02-19,749.031191
416,2021-02-20,667.7854
417,2021-02-21,636.8204020000001
418,2021-02-22,743.3179620000001
419,2021-02-23,750.925914
420,2021-02-24,747.390312
421,2021-02-25,744.8102719999999
422,2021-02-26,740.0174790000001
423,2021-02-27,664.2755649999999
424,2021-02-28,621.167542
425,2021-03-01,730.802101
426,2021-03-02,749.835836
427,2021-03-03,744.167225
428,2021-03-04,740.268037
429,2021-03-05,735.72458
430,2021-03-06,658.451851
431,2021-03-07,622.68566
432,2021-03-08,742.93638
433,2021-03-09,758.3525189999999
434,2021-03-10,750.796647
435,2021-03-11,739.481269
436,2021-03-12,729.092448
437,2021-03-13,646.3014969999999
438,2021-03-14,606.5404120000001
439,2021-03-15,719.293522
440,2021-03-16,732.0050259999999
441,2021-03-17,729.775728
442,2021-03-18,741.473221
443,2021-03-19,706.043651
444,2021-03-20,670.4976409999999
445,2021-03-21,630.102703
446,2021-03-22,735.080366
447,2021-03-23,739.4374250000001
448,2021-03-24,731.621692
449,2021-03-25,726.346417
450,2021-03-26,719.331777
451,2021-03-27,648.466535
452,2021-03-28,571.635074
453,2021-03-29,691.559272
454,2021-03-30,695.256722
455,2021-03-31,679.6876530000001
456,2021-04-01,603.780936
457,2021-04-02,558.137662
458,2021-04-03,577.877662
459,2021-04-04,551.346366
460,2021-04-05,604.0439250000001
461,2021-04-06,678.9370620000001
462,2021-04-07,706.832348
463,2021-04-08,711.274992
464,2021-04-09,713.789777
465,2021-04-10,641.31352
466,2021-04-11,594.071686
467,2021-04-12,692.941728
468,2021-04-13,717.396928
469,2021-04-14,716.6541850000001
470,2021-04-15,722.2387090000001
471,2021-04-16,713.5832730000001
472,2021-04-17,642.86534
473,2021-04-18,593.2931169999999
474,2021-04-19,697.833818
475,2021-04-20,709.788735
476,2021-04-21,710.848815
477,2021-04-22,713.242666
478,2021-04-23,685.3986779999999
479,2021-04-24,620.321236
480,2021-04-25,584.849257
481,2021-04-26,689.249537
482,2021-04-27,703.09256
483,2021-04-28,698.342061
484,2021-04-29,697.91872
485,2021-04-30,688.9565259999999
486,2021-05-01,577.472256
487,2021-05-02,559.173805
488,2021-05-03,667.365198
489,2021-05-04,689.998019
490,2021-05-05,690.6510999999999
491,2021-05-06,689.028329
492,2021-05-07,681.3994270000001
493,2021-05-08,612.800041
494,2021-05-09,573.950672
495,2021-05-10,672.5174860000001
496,2021-05-11,690.260839
497,2021-05-12,696.396062
498,2021-05-13,695.282254
499,2021-05-14,688.397416
500,2021-05-15,622.8635969999999
501,2021-05-16,580.57779
502,2021-05-17,668.87806
503,2021-05-18,696.787021
504,2021-05-19,698.169314
505,2021-05-20,697.758698
506,2021-05-21,691.966356
507,2021-05-22,621.6332020000001
508,2021-05-23,574.18028
509,2021-05-24,659.025584
510,2021-05-25,687.45259
511,2021-05-26,692.3381430000001
512,2021-05-27,694.593137
513,2021-05-28,687.21766
514,2021-05-29,625.581869
515,2021-05-30,579.605519
516,2021-05-31,683.32724
517,2021-06-01,696.048627
518,2021-06-02,700.505017
519,2021-06-03,698.600649
520,2021-06-04,692.965661
521,2021-06-05,622.988965
522,2021-06-06,576.7397129999999
523,2021-06-07,687.687127
524,2021-06-08,719.311181
525,2021-06-09,727.9984790000001
526,2021-06-10,739.161249
527,2021-06-11,732.773334
528,2021-06-12,663.407333
529,2021-06-13,616.20506
530,2021-06-14,737.903439
531,2021-06-15,759.440415
532,2021-06-16,755.302693
533,2021-06-17,732.968196
534,2021-06-18,720.62028
535,2021-06-19,646.908276
536,2021-06-20,594.4443299999999
537,2021-06-21,695.3108100000001
538,2021-06-22,710.3957419999999
539,2021-06-23,701.339201
540,2021-06-24,667.378472
541,2021-06-25,694.493443
542,2021-06-26,651.12108
543,2021-06-27,606.935474
544,2021-06-28,706.509225
545,2021-06-29,727.913028
546,2021-06-30,744.980042
547,2021-07-01,745.6468229999999
548,2021-07-02,751.0719399999999
549,2021-07-03,686.746086
550,2021-07-04,645.1977870000001
551,2021-07-05,756.482667
552,2021-07-06,765.5216069999999
553,2021-07-07,749.498243
554,2021-07-08,743.139951
555,2021-07-09,749.3615159999999
556,2021-07-10,698.499464
557,2021-07-11,662.579088
558,2021-07-12,763.113617
559,2021-07-13,739.886353
560,2021-07-14,742.631422
561,2021-07-15,749.381936
562,2021-07-16,755.7868020000001
563,2021-07-17,703.58958
564,2021-07-18,657.129066
565,2021-07-19,770.181187
566,2021-07-20,786.064039
567,2021-07-21,796.392983
568,2021-07-22,807.661031
569,2021-07-23,801.290966
570,2021-07-24,708.875188
571,2021-07-25,647.414033
572,2021-07-26,741.7888519999999
573,2021-07-27,764.664988
574,2021-07-28,777.471567
575,2021-07-29,786.049111
576,2021-07-30,780.535725
577,2021-07-31,688.6021430000001
578,2021-08-01,610.030071
579,2021-08-02,692.2965389999999
580,2021-08-03,716.478894
581,2021-08-04,726.92959
582,2021-08-05,737.222091
583,2021-08-06,733.401456
584,2021-08-07,676.412684
585,2021-08-08,615.00122
586,2021-08-09,688.277519
587,2021-08-10,712.411101
588,2021-08-11,735.9656650000001
589,2021-08-12,755.611095
590,2021-08-13,762.760446
591,2021-08-14,734.160936
592,2021-08-15,692.7508780000001
593,2021-08-16,734.676191
594,2021-08-17,734.157383
595,2021-08-18,729.6624889999999
596,2021-08-19,723.091039
597,2021-08-20,723.16805
598,2021-08-21,680.1778850000001
599,2021-08-22,642.5478860000001
600,2021-08-23,740.216309
601,2021-08-24,749.61014
602,2021-08-25,738.207487
603,2021-08-26,746.460103
604,2021-08-27,752.000087
605,2021-08-28,680.131728
606,2021-08-29,625.714882
607,2021-08-30,722.450384
608,2021-08-31,747.811051
609,2021-09-01,746.405192
610,2021-09-02,733.2948279999999
611,2021-09-03,731.068102
612,2021-09-04,661.105572
613,2021-09-05,625.9475060000001
614,2021-09-06,750.941319
615,2021-09-07,778.331589
616,2021-09-08,758.832979
617,2021-09-09,759.765067
618,2021-09-10,743.10971
619,2021-09-11,664.0345189999999
620,2021-09-12,624.4711729999999
621,2021-09-13,730.599845
622,2021-09-14,744.88997
623,2021-09-15,740.6555960000001
624,2021-09-16,726.396632
625,2021-09-17,714.163921
626,2021-09-18,639.4929000000001
627,2021-09-19,588.0682780000001
628,2021-09-20,692.113328
629,2021-09-21,696.7757369999999
630,2021-09-22,701.743975
